date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:27	7504/7504	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c9dd551b3e6335cf540ac13f7854c5b3%22	https://doc.rust-lang.org/book/img/trpl04-04.svg	./rust-book/doc.rust-lang.org/book/img/trpl04-04.svg	(from https://doc.rust-lang.org/book/ch04-01-what-is-ownership.html)
00:48:28	6598/6598	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224b14ca48d52d5e038e939bd28ad973ad%22	https://doc.rust-lang.org/book/img/trpl04-05.svg	./rust-book/doc.rust-lang.org/book/img/trpl04-05.svg	(from https://doc.rust-lang.org/book/ch04-02-references-and-borrowing.html)
00:48:29	9670/9670	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f5c9b15dc5cfd05bef60dc5d70fe42ab%22	https://doc.rust-lang.org/book/img/trpl04-06.svg	./rust-book/doc.rust-lang.org/book/img/trpl04-06.svg	(from https://doc.rust-lang.org/book/ch04-03-slices.html)
00:48:31	123988/123988	---M--	200	added ('OK')	image/png	etag:%226b6a73eb247f2f058f8766023431252d%22	https://doc.rust-lang.org/book/img/trpl14-01.png	./rust-book/doc.rust-lang.org/book/img/trpl14-01.png	(from https://doc.rust-lang.org/book/ch14-02-publishing-to-crates-io.html)
00:48:31	81694/81694	---M--	200	added ('OK')	image/png	etag:%221b459bd5d58be90f81f3918518fcf3b5%22	https://doc.rust-lang.org/book/img/trpl14-02.png	./rust-book/doc.rust-lang.org/book/img/trpl14-02.png	(from https://doc.rust-lang.org/book/ch14-02-publishing-to-crates-io.html)
00:48:32	94569/94569	---M--	200	added ('OK')	image/png	etag:%22851cbc423e4fdcd4be27b75dd328d788%22	https://doc.rust-lang.org/book/img/trpl14-03.png	./rust-book/doc.rust-lang.org/book/img/trpl14-03.png	(from https://doc.rust-lang.org/book/ch14-02-publishing-to-crates-io.html)
00:48:34	241098/241098	---M--	200	added ('OK')	image/png	etag:%2246736504c652e481a29b63e3c09bd7b6%22	https://doc.rust-lang.org/book/img/trpl14-04.png	./rust-book/doc.rust-lang.org/book/img/trpl14-04.png	(from https://doc.rust-lang.org/book/ch14-02-publishing-to-crates-io.html)
00:48:34	3145/3145	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211c9f8e4be5b4459c972ee2cc760874d%22	https://doc.rust-lang.org/book/img/trpl15-01.svg	./rust-book/doc.rust-lang.org/book/img/trpl15-01.svg	(from https://doc.rust-lang.org/book/ch15-01-box.html)
00:48:35	1536/1536	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2288a393b137b36acfe5dae279d6faa9fd%22	https://doc.rust-lang.org/book/img/trpl15-02.svg	./rust-book/doc.rust-lang.org/book/img/trpl15-02.svg	(from https://doc.rust-lang.org/book/ch15-01-box.html)
00:48:36	5447/5447	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256219be949d40c7f531ab989122829b8%22	https://doc.rust-lang.org/book/img/trpl15-03.svg	./rust-book/doc.rust-lang.org/book/img/trpl15-03.svg	(from https://doc.rust-lang.org/book/ch15-04-rc.html)
00:48:37	3824/3824	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dc976bb06d024ed2eb5f0c7294e22f6f%22	https://doc.rust-lang.org/book/img/trpl15-04.svg	./rust-book/doc.rust-lang.org/book/img/trpl15-04.svg	(from https://doc.rust-lang.org/book/ch15-06-reference-cycles.html)
00:48:38	8491/8491	---M--	200	added ('OK')	image/png	etag:%2213ea49bed1617f7120790abc9c07c22b%22	https://doc.rust-lang.org/book/img/trpl20-01.png	./rust-book/doc.rust-lang.org/book/img/trpl20-01.png	(from https://doc.rust-lang.org/book/ch20-00-final-project-a-web-server.html)
